品號,品名,類別,份數,包數,份數價格,商品結帳價
D50800001,A01金瓜紅藜鮭魚粥,冷凍粥飯,1,2,109.5,219
D50800002,A02元氣蕃茄豬肉粥,冷凍粥飯,1,2,109.5,219
D50800003,A03芹耳絲瓜鱸魚粥,冷凍粥飯,1,2,109.5,219
D50800004,A04山藥海芽鱸魚粥,冷凍粥飯,1,2,109.5,219
D50800005,A05秋葵棉腐雞肉粥,冷凍粥飯,1,2,109.5,219
D50800006,A06薑薑好虱目魚粥,冷凍粥飯,1,2,109.5,219
D50800007,A07什錦五彩豬肉粥,冷凍粥飯,1,2,109.5,219
D50800008,A08羅宋甜麗牛肉粥,冷凍粥飯,1,2,109.5,219
D50800009,A09地瓜香蘋蔬食粥,冷凍粥飯,1,2,109.5,219
D50800010,A10紫薯洋芋蔬食粥,冷凍粥飯,1,2,109.5,219
D50800011,A11棗滋養虱目魚粥,冷凍粥飯,1,2,109.5,219
D50800012,A12甜菜香蘋鯛魚粥,冷凍粥飯,1,2,109.5,219
D50900001,B01養氣蓮子香菇雞,冷凍粥飯,1,2,70,140
D50900002,B02塔香肉燥,冷凍粥飯,1,2,70,140
D50900003,B03蕃茄馬鈴薯燉肉,冷凍粥飯,1,2,70,140
D50900004,B04哈佛蔬菜燴鮮魚,冷凍粥飯,1,2,70,140
D50900005,B05山藥鮮蔬嫰雞,冷凍粥飯,1,2,70,140
D51000001,C01懷舊高麗菜燉飯,冷凍粥飯,1,2,90,180
D51000002,C02和風鮭魚彩蔬燉飯,冷凍粥飯,1,2,90,180
D51000003,C03薑黃野菇蔬食燉飯,冷凍粥飯,1,2,90,180
D51000004,C04麻香牛肉燉飯,冷凍粥飯,1,2,90,180
D51000005,C05洋蔥鮮豚燉飯,冷凍粥飯,1,2,90,180
D51000006,C06蜜薯嫰雞燉飯,冷凍粥飯,1,2,90,180
E52010001,V-01好粥伴-什錦豆漿粥,冷凍粥飯,,,,
E52010002,V-02好粥伴-野菜菇菇粥,冷凍粥飯,,,,
E52010003,V-03好粥伴-高麗菜玉米鮮菇粥,冷凍粥飯,,,,
F50100021,滴雞精3入,組合,,,,
F50100022,滴雞精7入,組合,,,,
F50100023,滴雞精7入*2組,組合,,,,
F50100024,滴雞精7入*4組,組合,,,,
F30100063,樂齡粥彭湃10件組,組合,,,,
F30100064,樂齡粥+料10件組,組合,,,,
F30100065,樂齡料+飯10件組,組合,,,,
F30100066,樂齡粥+飯10件組,組合,,,,
F30100067,樂齡粥單包試吃體驗組(免運),組合,,,,299
F30100068,人氣體驗組,組合,,,,519
F30100069,全品項燴料5件組 (不含牛),組合,,,,669
F30100070,全品項燉飯6件組 (含牛),組合,,,,
F30100071,樂齡粥熱銷6件組 (不含牛),組合,,,,1249
F30100072,樂齡粥澎派7件組 (不含牛),組合,,,,1459
F30100073,粥飯好滿足8件組 (不含牛),組合,,,,1499
F30100074,樂齡粥大胃王8件組 (含牛),組合,,,,1649
F30100075,捷捷好粥伴-嚐鮮體驗組 (奶素) 首購免運，3款各1盒,組合,,,,519
F30100076,捷捷好粥伴-全家大補給(奶素)，3款各2盒,組合,,,,969
F30100077,捷捷好粥伴-超值優惠組(奶素)，3款各3盒,組合,,,,
F50100082,樂齡粥體驗3件組,組合,,,,
F50100083,樂齡粥人氣5件組,組合,,,,
F50100084,樂齡粥豪華10件組,組合,,,,
F50100085,樂齡燴料經典3件組,組合,,,,
F59900001,運費,,,,,165
F59900002,折扣,,,,,
F59900003,黑貓貨到付款手續費,,,,,30
,,,,,,
F50100101 ,樂齡粥888免運體驗組,,,,,888
F50100102 ,料飯888免運體驗組,,,,,888
F50100103 ,粥料飯888免運體驗組,,,,,888
F50100104 , 捷捷38女王節輕盈限,,,,,
,,,,,,
,,,,,,
F50100099,捷捷樂齡食品- 樂齡粥大胃王12件組 (含牛),,,,,
F50100100 ,捷捷樂齡食品- 料飯最享受8件組 (不含牛),,,,,1199
JJ-SR-C-4-1,C04麻香牛肉燉飯,冷凍粥飯,1,2,90,180
