品號,條碼,品名
D50100011,4710586220117,0-11高麗菜米泥
D50100019,4710586220209,0-19鯛魚米泥
D50100002,4710586220025,0-2南瓜米泥
D50200001,4710586220971,1-01玉米菇菇雞蓉粥
D50200003,4710586220537,1-03紅蔔甜椒雞蓉粥
D50200009,4710586220919,1-09清甜美人粥
D50200010,4710586220773,1-10枸杞紅棗山藥粥
D50200011,4710586220797,1-11蔬菜鮭魚粥
D50300002,4710586221039,1P-02高麗野蔬雞蓉大寶寶粥150g
D50300003,4710586221053,1P-03豚未香菇豆腐大寶寶粥150g
D50300006,4710586221114,1P-06絲瓜鱸魚大寶寶粥150g
D50300010,4710586221190,1P-10四季春雞大寶寶粥150g
D50300013,4710586221251,1P-13芹香牛奶魚大寶寶粥150g
D50300014,4710586221275,1P-14五彩雙嬌牛肉大寶寶粥150g
D50300017,4710586221336,1P-17甘栗瓜瓜魚肉大寶寶粥150g
D50400004,4710586221084,1P-04蔬菜鮭魚大寶寶粥200g
D50400005,4710586221107,1P-05元氣牛肉大寶寶粥200g
D50400006,4710586221121,1P-06絲瓜鱸魚大寶寶粥200g
D50400008,4710586221169,1P-08鮮魚野蕈大寶寶粥200g
D50400010,4710586221206,1P-10四季春雞大寶寶粥200g
D50400011,4710586221220,1P-11紫金雞蓉大寶寶粥200g
D50400012,4710586221244,1P-12青花菇蕈大寶寶粥200g
D50400013,4710586221268,1P-13芹香牛奶魚大寶寶粥200g
D50300016,4710586221329,1P-16豚末針菇大寶寶粥150g
D50300017,4710586221343,1P-17甘栗瓜瓜魚肉大寶寶粥150g
D50100021,4710586221510,0-21絲瓜米泥
D50500007,4710586221602,2-4塔香虱目魚
D50600011,4710586221947,S11田園雞肉燉飯
D50600004,4710586221848,2-S4秋葵茄雞燉飯
D50600005,4710586221855,2-S5香菇雞湯燉飯
D50600006,4710586221862,2-S6羅宋牛肉燉飯
D50600007,4710586221879,2-S7鮭魚鮮燴燉飯
D50600008,4710586221886,2-S8豆豆美人燉飯
D50600009,4710586221893,2-S9蒜香蝦蝦燉飯
E51010001,4710586224078,2-D01後元彩虹水餃
E51010003,4710586224092,2-D03寶寶後元蘿蔔糕
D50100013,4710586220148,0-13洋蔥米泥
D50100015,4710586220162,0-15蘋果米泥
D50100017,4710586220186,0-17雞肉米泥
D50100018,4710586220193,0-18豬肉米泥
D50100020,4710586220216,0-20牛肉米泥
D50100003,4710586220032,0-3地瓜米泥
D50100004,4710586220049,0-4馬鈴薯米泥
D50100006,4710586220063,0-6甜菜根米泥
D50100007,4710586220070,0-7山藥米泥
D50100009,4710586220094,0-9小松葉米泥
D50200002,4710586220506,1-02雙瓜豬肉粥
D50200004,4710586220957,1-04青翠白花豬豬粥
D50300004,4710586221077,1P-04蔬菜鮭魚大寶寶粥150g
D50300005,4710586221091,1P-05元氣牛肉大寶寶粥150g
D50300007,4710586221138,1P-07百蔬蛋黃大寶寶粥150g
D50300008,4710586221152,1P-08鮮魚野蕈大寶寶粥150g
D50300012,4710586221237,1P-12青花菇蕈大寶寶粥150g
D50300016,4710586221312,1P-16豚末針菇大寶寶粥150g
D50300018,4710586221350,1P-18蕃茄時蔬嫰雞大寶寶粥150g
D50400001,4710586221022,1P-01金黃根莖雞蓉大寶寶粥200g
D50400002,4710586221046,1P-02高麗野蔬雞蓉大寶寶粥200g
D50400007,4710586221145,1P-07百蔬蛋黃大寶寶粥200g
D50300018,4710586221367,1P-18蕃茄時蔬嫰雞大寶寶粥150g
D50500005,4710586221527,2-2鮮奶起司鮭魚
D50500008,4710586221541,2-5咖哩雞肉
D50600003,4710586221831,2-S3白醬魚片燉飯
E51010002,4710586224085,2-D02寶寶後元饅頭
D50300001,4710586221015,1P-01金黃根莖雞蓉大寶寶粥150g
D50300009,4710586221176,1P-09粉紅豬豬大寶寶粥150g
D50600001,4710586221817,2-S1和風豚肉燉飯
D50100010,4710586220100,0-10青花椰菜米泥
D50100012,4710586220124,0-12黑木耳米泥
D50100021,4710586220223,0-21絲瓜米泥
D50100005,4710586220056,0-5紅蘿蔔米泥
D50100008,4710586220087,0-8青江菜米泥
D50200005,4710586220575,1-05番茄野菇雞蓉粥
D50200006,4710586220698,1-06秋葵白菜牛肉粥
D50200007,4710586220834,1-07紫心豬豬粥
D50200008,4710586220636,1-08木耳海藻魚片粥
D50500014,4710586221619,2-11香甜玉米雞肉
D50600012,4710586221923,2-M3青醬海陸義麵
D50600010,4710586221930,2-S10五彩鮮魚燉飯
D50600002,4710586221824,2-S2綠意什錦豬肉燉飯
