編號,店名,電話,地址
K027,卡多摩嬰童-台北延吉店,(02)2325-3715,台北市大安區延吉街233-1號
K066,卡多摩嬰童-新竹光復店,03-5630056,300新竹市東區光復路一段369號
K035,卡多摩嬰童-桃園龜山店,(03)327-8575,桃園市龜山區文化三路388號
Q001,卡多摩嬰童-三重五華,02-89816256,新北市三重區五華街69號
K009,卡多摩嬰童-三重重陽,02-2986-1107,新北市三重區重陽路二段9號
K022,卡多摩嬰童-板橋中山,02-89530586,新北市板橋區中山路二段58號
K042,卡多摩嬰童-台北大安,02-23255750,台北市大安區大安路二段104號
K020,卡多摩嬰童-重慶店,(02)2585-6100,台北市大同區重慶北路三段113-1號
K024,卡多摩嬰童-中和永安,(02)2921-5860,新北市中和區中和路302號(1樓)
K047,卡多摩嬰童-中壢環北,(03)4333-822,桃園市中壢區環北路107-1號1+2樓
K050,卡多摩嬰童-內湖東湖,(02)2631-1866,台北市內湖區東湖路29號1F、地下室
K051,卡多摩嬰童-平鎮環南,03-4015520,32446桃園市平鎮區環南路139號
K052,卡多摩嬰童-信義莊敬,02-27209832,11058台北市信義區莊敬路453號1+2樓
K053,卡多摩嬰童-楊梅埔心,03-4311123,桃園市楊梅區永美路385-7號1、2樓
K055,卡多摩嬰童-萬壽龜山,03-3591695,桃園市龜山區萬壽路二段1287號1+2樓
K025,卡多摩嬰童-永和福和,02-29231360,23450新北市永和區福和路196號
K056,卡多摩嬰童-桃園大園,03-3843661,桃園市大園區中華路88號
K026,卡多摩嬰童-蘆洲三民,02-82868886,新北市蘆洲區三民路215號
K033,卡多摩嬰童-林口仁愛,02-26019373,新北市林口區仁愛路一段691號
K059,卡多摩嬰童-桃園春日,03-3160612,桃園市桃園區春日路868號
K007,卡多摩嬰童-土城明德,02-82622411,23659新北市土城區明德路2段96號
K057,卡多摩嬰童-竹北縣政,03-5587073,新竹縣竹北市縣政二路550號
K028,卡多摩嬰童-板橋文化,02-22501299,新北市板橋區文化路2段488號
K016,卡多摩嬰童-永和中山,02-29291511,新北市永和區中山路一段71號
K005,卡多摩嬰童-新莊民安,02-22040707,新北市新莊區民安西路38巷2號
K063,卡多摩嬰童-汐止中興,02-23961996,新北市汐止區中興里中興路２２０號（１樓）
K064,卡多摩嬰童-中壢龍岡,03-4280622,桃園市中壢區龍岡路二段69號
Q002,卡多摩嬰童-林口仁愛二店,02-26089096,新北市林口區仁愛路二段249號(S20250822002004)
K001,卡多摩嬰童-板橋篤行,02-26879178,新北市板橋區篤行路二段105號
K040,卡多摩-桃園介壽店,0922-765-739,桃園市八德區介壽路二段1068號
K054,卡多摩-八德金和店,03-3617335,桃園市八德區金和路21號
K065,卡多摩-宜蘭中山店,03-9280065,260宜蘭縣宜蘭市中山路五段143號
K067,卡多摩-羅東光榮店,03-9600067,265宜蘭縣羅東鎮羅莊里光榮路108號
B002,寶寶共和國-汐止店(平日到貨),02-26487216,新北市汐止區大同路一段243號(平日到貨)
B001,寶寶共和國-三重店,02-29958890,新北市三重區中興南街80巷19-2號
B003,寶寶共和國-中壢店,03-4652783,桃園市中壢區中山東路二段510號B1
